Time,RG
0,2.11683
10,2.12516
20,2.13073
30,2.13692
40,2.15733
50,2.14084
60,2.14133
70,2.11816
80,2.14705
90,2.15644
100,2.14342
110,2.12958
120,2.13646
130,2.14159
140,2.13803
150,2.13492
160,2.13763
170,2.13347
180,2.1376
190,2.13419
200,2.13762
210,2.12414
220,2.13861
230,2.1359
240,2.12855
250,2.12402
260,2.12158
270,2.12106
280,2.12968
290,2.13832
300,2.13218
310,2.12821
320,2.11599
330,2.123
340,2.12826
350,2.12313
360,2.12381
370,2.12226
380,2.11829
390,2.12659
400,2.13783
410,2.13615
420,2.12297
430,2.11987
440,2.11151
450,2.10791
460,2.11329
470,2.10433
480,2.12107
490,2.12341
500,2.11457
510,2.13428
520,2.12328
530,2.11236
540,2.11944
550,2.12803
560,2.1422
570,2.12171
580,2.12374
590,2.11764
600,2.12039
610,2.12205
620,2.1271
630,2.11298
640,2.12001
650,2.12044
660,2.12065
670,2.13599
680,2.13945
690,2.12941
700,2.12121
710,2.12293
720,2.12091
730,2.12063
740,2.14174
750,2.12359
760,2.1389
770,2.1458
780,2.13262
790,2.14318
800,2.1608
810,2.14466
820,2.15281
830,2.15257
840,2.14124
850,2.14593
860,2.14438
870,2.13735
880,2.14601
890,2.14811
900,2.15097
910,2.15511
920,2.15257
930,2.15714
940,2.14883
950,2.1442
960,2.15755
970,2.1611
980,2.16386
990,2.15421
1000,2.1484
1010,2.15254
1020,2.15564
1030,2.15681
1040,2.14859
1050,2.14276
1060,2.16037
1070,2.15528
1080,2.14782
1090,2.15734
1100,2.15565
1110,2.14485
1120,2.15153
1130,2.13575
1140,2.15264
1150,2.15638
1160,2.14039
1170,2.13549
1180,2.14357
1190,2.12968
1200,2.12123
1210,2.13385
1220,2.12678
1230,2.13397
1240,2.12229
1250,2.13101
1260,2.12782
1270,2.12728
1280,2.13307
1290,2.13112
1300,2.13126
1310,2.14521
1320,2.14294
1330,2.1374
1340,2.15209
1350,2.13014
1360,2.14088
1370,2.13154
1380,2.14018
1390,2.14864
1400,2.13064
1410,2.13213
1420,2.13118
1430,2.13654
1440,2.14068
1450,2.1315
1460,2.13154
1470,2.13653
1480,2.13829
1490,2.12755
1500,2.13218
1510,2.13192
1520,2.12968
1530,2.12783
1540,2.13732
1550,2.14646
1560,2.13582
1570,2.14435
1580,2.15176
1590,2.1349
1600,2.13517
1610,2.11953
1620,2.1301
1630,2.12427
1640,2.13497
1650,2.12652
1660,2.13447
1670,2.12393
1680,2.13021
1690,2.12596
1700,2.12709
1710,2.11687
1720,2.10965
1730,2.12582
1740,2.12757
1750,2.11142
1760,2.12376
1770,2.13216
1780,2.12432
1790,2.13948
1800,2.13799
1810,2.15086
1820,2.13994
1830,2.14426
1840,2.14089
1850,2.13132
1860,2.13523
1870,2.13858
1880,2.12716
1890,2.14019
1900,2.14127
1910,2.13725
1920,2.13826
1930,2.15517
1940,2.12999
1950,2.13543
1960,2.10521
1970,2.11029
1980,2.11759
1990,2.12173
2000,2.12939
2010,2.14102
2020,2.12722
2030,2.14114
2040,2.14142
2050,2.1363
2060,2.1306
2070,2.13803
2080,2.13697
2090,2.12922
2100,2.12916
2110,2.12536
2120,2.13494
2130,2.127
2140,2.13768
2150,2.12637
2160,2.11876
2170,2.12797
2180,2.13529
2190,2.12703
2200,2.11939
2210,2.10225
2220,2.09121
2230,2.12117
2240,2.1142
2250,2.11464
2260,2.11195
2270,2.11511
2280,2.1231
2290,2.11098
2300,2.10392
2310,2.10448
2320,2.09075
2330,2.11011
2340,2.09738
2350,2.09612
2360,2.09305
2370,2.09818
2380,2.08671
2390,2.08757
2400,2.093
2410,2.10115
2420,2.08871
2430,2.09955
2440,2.10555
2450,2.1001
2460,2.10111
2470,2.1242
2480,2.12174
2490,2.12536
2500,2.12842
2510,2.1149
2520,2.10345
2530,2.12289
2540,2.13591
2550,2.12909
2560,2.15183
2570,2.13953
2580,2.13354
2590,2.13154
2600,2.12437
2610,2.1208
2620,2.11696
2630,2.13581
2640,2.1245
2650,2.13394
2660,2.12984
2670,2.11448
2680,2.12788
2690,2.14297
2700,2.13025
2710,2.13449
2720,2.13291
2730,2.13499
2740,2.1443
2750,2.13553
2760,2.13319
2770,2.12837
2780,2.13063
2790,2.14034
2800,2.13903
2810,2.16024
2820,2.14374
2830,2.15565
2840,2.15258
2850,2.14825
2860,2.16515
2870,2.15577
2880,2.13538
2890,2.13047
2900,2.13931
2910,2.12598
2920,2.13489
2930,2.13354
2940,2.13128
2950,2.13472
2960,2.13539
2970,2.13507
2980,2.13906
2990,2.12998
3000,2.12444
3010,2.13462
3020,2.12818
3030,2.13948
3040,2.13285
3050,2.14344
3060,2.14534
3070,2.13965
3080,2.12787
3090,2.12223
3100,2.11411
3110,2.11331
3120,2.11303
3130,2.11783
3140,2.12011
3150,2.12773
3160,2.11519
3170,2.12219
3180,2.11351
3190,2.11408
3200,2.11545
3210,2.12091
3220,2.12272
3230,2.12875
3240,2.12393
3250,2.12095
3260,2.10977
3270,2.11751
3280,2.10652
3290,2.10294
3300,2.11013
3310,2.1086
3320,2.11214
3330,2.10974
3340,2.10509
3350,2.11353
3360,2.11444
3370,2.1113
3380,2.11772
3390,2.1172
3400,2.10584
3410,2.12264
3420,2.10294
3430,2.10784
3440,2.11044
3450,2.10907
3460,2.10835
3470,2.10992
3480,2.12194
3490,2.1105
3500,2.12542
3510,2.12906
3520,2.12389
3530,2.12682
3540,2.11603
3550,2.11937
3560,2.12304
3570,2.11854
3580,2.12087
3590,2.10958
3600,2.11796
3610,2.11812
3620,2.11304
3630,2.1271
3640,2.11961
3650,2.12688
3660,2.12661
3670,2.12005
3680,2.12706
3690,2.11912
3700,2.11048
3710,2.11231
3720,2.12005
3730,2.11553
3740,2.12186
3750,2.13609
3760,2.13426
3770,2.12401
3780,2.12401
3790,2.11541
3800,2.11826
3810,2.13168
3820,2.13006
3830,2.14014
3840,2.13679
3850,2.11827
3860,2.13409
3870,2.14754
3880,2.14094
3890,2.14157
3900,2.14586
3910,2.13321
3920,2.11837
3930,2.12697
3940,2.1198
3950,2.12498
3960,2.12768
3970,2.1333
3980,2.10871
3990,2.11748
4000,2.12264
4010,2.11975
4020,2.11671
4030,2.12361
4040,2.12957
4050,2.1236
4060,2.12972
4070,2.13494
4080,2.13836
4090,2.13452
4100,2.13464
4110,2.13449
4120,2.13429
4130,2.14412
4140,2.15411
4150,2.15251
4160,2.15415
4170,2.15132
4180,2.16078
4190,2.1511
4200,2.1586
4210,2.16171
4220,2.14629
4230,2.15689
4240,2.14578
4250,2.16273
4260,2.15174
4270,2.15251
4280,2.14309
4290,2.15722
4300,2.14398
4310,2.13687
4320,2.14405
4330,2.14763
4340,2.16122
4350,2.13708
4360,2.13157
4370,2.13689
4380,2.14123
4390,2.12533
4400,2.13232
4410,2.14155
4420,2.14423
4430,2.14654
4440,2.14642
4450,2.14286
4460,2.1417
4470,2.13501
4480,2.13207
4490,2.13622
4500,2.12694
4510,2.12452
4520,2.13763
4530,2.12467
4540,2.11278
4550,2.10426
4560,2.11275
4570,2.11938
4580,2.12739
4590,2.1292
4600,2.12185
4610,2.12132
4620,2.10451
4630,2.11079
4640,2.11773
4650,2.10893
4660,2.11015
4670,2.11018
4680,2.11424
4690,2.11767
4700,2.10952
4710,2.12525
4720,2.12581
4730,2.11522
4740,2.11902
4750,2.10336
4760,2.11186
4770,2.1259
4780,2.11755
4790,2.11908
4800,2.11852
4810,2.11436
4820,2.10172
4830,2.09598
4840,2.09053
4850,2.10746
4860,2.09772
4870,2.09404
4880,2.0862
4890,2.08388
4900,2.08991
4910,2.08563
4920,2.08819
4930,2.08592
4940,2.07022
4950,2.07626
4960,2.06679
4970,2.07093
4980,2.07699
4990,2.08804
5000,2.07783
5010,2.08929
5020,2.08204
5030,2.0789
5040,2.0678
5050,2.08084
5060,2.07793
5070,2.07808
5080,2.08343
5090,2.08717
5100,2.08199
5110,2.07816
5120,2.07739
5130,2.07948
5140,2.09264
5150,2.08575
5160,2.08832
5170,2.09102
5180,2.0973
5190,2.0813
5200,2.08508
5210,2.08464
5220,2.09088
5230,2.07751
5240,2.08599
5250,2.08427
5260,2.08131
5270,2.09659
5280,2.09392
5290,2.09199
5300,2.08637
5310,2.09802
5320,2.09211
5330,2.08412
5340,2.09703
5350,2.09756
5360,2.10062
5370,2.1018
5380,2.10627
5390,2.0916
5400,2.09571
5410,2.10334
5420,2.08508
5430,2.08896
5440,2.08794
5450,2.08563
5460,2.10405
5470,2.09139
5480,2.07948
5490,2.08813
5500,2.09646
5510,2.09982
5520,2.1073
5530,2.08911
5540,2.07462
5550,2.08087
5560,2.09373
5570,2.08019
5580,2.08083
5590,2.08127
5600,2.09196
5610,2.08531
5620,2.0926
5630,2.09145
5640,2.09824
5650,2.11198
5660,2.11177
5670,2.10172
5680,2.10269
5690,2.10509
5700,2.09946
5710,2.09653
5720,2.09975
5730,2.09512
5740,2.09529
5750,2.08426
5760,2.08059
5770,2.0799
5780,2.08529
5790,2.08383
5800,2.09374
5810,2.09338
5820,2.08709
5830,2.06992
5840,2.08316
5850,2.08636
5860,2.07599
5870,2.08245
5880,2.0888
5890,2.06978
5900,2.08929
5910,2.091
5920,2.07984
5930,2.07803
