Time,RG
4120,2.11041
4130,2.11372
4140,2.12605
4150,2.11912
4160,2.10946
4170,2.1077
4180,2.11488
4190,2.11059
4200,2.12845
4210,2.1232
4220,2.13094
4230,2.13959
4240,2.10881
4250,2.11201
4260,2.11821
4270,2.12923
4280,2.12847
4290,2.12577
4300,2.14557
4310,2.11916
4320,2.12606
4330,2.12299
4340,2.13061
4350,2.12206
4360,2.12204
4370,2.13216
4380,2.12871
4390,2.13328
4400,2.14765
4410,2.14932
4420,2.13786
4430,2.12313
4440,2.14394
4450,2.1532
4460,2.15261
4470,2.14077
4480,2.13711
4490,2.14529
4500,2.13486
4510,2.14877
4520,2.14484
4530,2.13472
4540,2.14415
4550,2.12772
4560,2.12837
4570,2.13673
4580,2.13456
4590,2.13429
4600,2.13608
4610,2.13661
4620,2.1379
4630,2.13407
4640,2.12735
4650,2.15017
4660,2.13458
4670,2.12743
4680,2.13736
4690,2.13462
4700,2.11897
4710,2.13637
4720,2.12295
4730,2.09793
4740,2.11226
4750,2.12278
4760,2.13454
4770,2.12221
4780,2.11032
4790,2.12424
4800,2.11972
4810,2.11119
4820,2.11838
4830,2.11662
4840,2.11556
4850,2.12865
4860,2.1258
4870,2.12589
4880,2.12778
4890,2.1088
4900,2.11839
4910,2.12065
4920,2.10893
4930,2.10432
4940,2.11216
4950,2.11805
4960,2.1219
4970,2.11161
4980,2.12099
4990,2.12238
5000,2.13009
5010,2.12604
5020,2.12619
5030,2.11695
5040,2.13543
5050,2.11855
5060,2.11179
5070,2.11597
5080,2.11074
5090,2.12824
5100,2.11452
5110,2.11263
5120,2.12464
5130,2.12768
5140,2.12476
5150,2.11382
5160,2.10077
5170,2.10901
5180,2.11702
5190,2.11126
5200,2.11928
5210,2.13217
5220,2.1409
5230,2.10961
5240,2.12368
5250,2.13074
5260,2.12696
5270,2.12443
5280,2.12492
5290,2.11509
5300,2.11439
5310,2.11471
5320,2.1202
5330,2.12916
5340,2.13177
5350,2.12628
5360,2.13434
5370,2.1408
5380,2.15745
5390,2.15533
5400,2.16028
5410,2.14383
5420,2.14095
5430,2.12972
5440,2.1189
5450,2.12547
5460,2.10834
5470,2.13125
5480,2.13538
5490,2.12104
5500,2.1287
5510,2.11653
5520,2.11633
5530,2.13323
5540,2.14181
5550,2.12022
5560,2.12987
5570,2.14057
5580,2.1289
5590,2.13939
5600,2.12847
5610,2.13386
5620,2.13473
5630,2.13356
5640,2.12208
5650,2.12417
5660,2.11026
5670,2.12707
5680,2.13018
5690,2.1134
5700,2.12407
5710,2.12432
5720,2.12137
5730,2.11007
5740,2.12021
5750,2.11243
5760,2.1347
5770,2.10588
5780,2.09725
5790,2.13325
5800,2.12887
5810,2.13738
5820,2.1367
5830,2.14103
5840,2.13806
5850,2.13399
5860,2.11509
5870,2.13226
5880,2.10429
5890,2.10986
5900,2.12427
5910,2.11231
5920,2.1128
5930,2.12272
5940,2.12069
5950,2.12097
5960,2.1224
5970,2.11369
5980,2.12118
5990,2.12257
6000,2.11219
6010,2.1216
6020,2.12125
6030,2.1427
6040,2.13729
6050,2.14661
6060,2.14496
6070,2.14282
6080,2.13394
6090,2.13409
6100,2.14048
6110,2.15054
6120,2.12524
6130,2.12664
6140,2.13243
6150,2.13028
6160,2.1184
6170,2.117
6180,2.12555
6190,2.13857
6200,2.11944
6210,2.12636
6220,2.13954
6230,2.12453
6240,2.13173
6250,2.137
6260,2.1423
6270,2.12847
6280,2.12997
6290,2.11697
6300,2.14317
6310,2.14689
6320,2.15116
6330,2.14835
6340,2.13947
6350,2.14035
6360,2.14247
6370,2.14562
6380,2.15822
6390,2.1465
6400,2.14816
6410,2.13424
6420,2.13991
6430,2.12775
6440,2.13231
6450,2.13142
6460,2.13832
6470,2.14197
6480,2.14255
6490,2.13905
6500,2.15737
6510,2.13896
6520,2.14233
6530,2.14711
6540,2.15462
6550,2.14807
6560,2.13361
6570,2.14337
6580,2.14632
6590,2.16116
6600,2.15316
6610,2.15075
6620,2.12756
6630,2.14367
6640,2.14732
6650,2.14609
6660,2.1517
6670,2.13791
6680,2.13424
6690,2.1332
6700,2.1241
6710,2.13094
6720,2.12577
6730,2.11765
6740,2.12808
6750,2.12704
6760,2.12968
6770,2.13692
6780,2.14014
6790,2.12915
6800,2.13477
6810,2.14767
6820,2.16024
6830,2.14725
6840,2.13736
6850,2.1486
6860,2.13915
6870,2.16907
6880,2.15305
6890,2.14371
6900,2.14997
6910,2.13556
6920,2.13519
6930,2.13389
6940,2.13662
6950,2.16035
6960,2.15007
6970,2.13923
6980,2.13972
6990,2.12742
7000,2.14202
7010,2.13083
7020,2.15399
7030,2.14804
7040,2.14143
7050,2.13555
7060,2.14069
7070,2.14658
7080,2.14545
7090,2.14883
7100,2.13794
7110,2.14556
7120,2.14312
7130,2.15127
7140,2.14714
7150,2.16073
7160,2.15882
7170,2.15504
7180,2.16431
7190,2.16692
7200,2.15611
7210,2.15234
7220,2.15575
7230,2.15274
7240,2.15164
7250,2.14807
7260,2.15184
7270,2.15007
7280,2.15391
