Time,RG
0,2.11628
10,2.13596
20,2.13812
30,2.13585
40,2.12097
50,2.12699
60,2.1337
70,2.12891
80,2.12724
90,2.11841
100,2.1236
110,2.13311
120,2.11697
130,2.13709
140,2.12358
150,2.13701
160,2.13573
170,2.15084
180,2.14019
190,2.14761
200,2.13627
210,2.1429
220,2.15841
230,2.14687
240,2.13049
250,2.12766
260,2.14063
270,2.13542
280,2.13313
290,2.12432
300,2.12538
310,2.137
320,2.13927
330,2.13982
340,2.12861
350,2.13112
360,2.13631
370,2.15542
380,2.15435
390,2.15026
400,2.15689
410,2.14803
420,2.15391
430,2.15744
440,2.165
450,2.15561
460,2.15564
470,2.14555
480,2.13747
490,2.13364
500,2.14367
510,2.13872
520,2.13391
530,2.13342
540,2.12577
550,2.12806
560,2.12683
570,2.12671
580,2.13116
590,2.1377
600,2.13938
610,2.12825
620,2.1163
630,2.12919
640,2.12804
650,2.13083
660,2.14979
670,2.1272
680,2.12811
690,2.13055
700,2.13808
710,2.14309
720,2.14405
730,2.14537
740,2.13909
750,2.12881
760,2.12746
770,2.12153
780,2.11453
790,2.12942
800,2.13847
810,2.13018
820,2.14527
830,2.13215
840,2.13659
850,2.13467
860,2.1373
870,2.1422
880,2.13816
890,2.13324
900,2.15655
910,2.16263
920,2.1467
930,2.14485
940,2.13808
950,2.14914
960,2.1522
970,2.14285
980,2.13532
990,2.13944
1000,2.1531
1010,2.15566
1020,2.14962
1030,2.14518
1040,2.13586
1050,2.14102
1060,2.13304
1070,2.14436
1080,2.13728
1090,2.13395
1100,2.12858
1110,2.14878
1120,2.14351
1130,2.1204
1140,2.13087
1150,2.14449
1160,2.14051
1170,2.13891
1180,2.13629
1190,2.12556
1200,2.1354
1210,2.15051
1220,2.13447
1230,2.13007
1240,2.14563
1250,2.15178
1260,2.14023
1270,2.13956
1280,2.14875
1290,2.14326
1300,2.13197
1310,2.13016
1320,2.13553
1330,2.13729
1340,2.1409
1350,2.13496
1360,2.13775
1370,2.14515
1380,2.13724
1390,2.14513
1400,2.14689
1410,2.13979
1420,2.13065
1430,2.14148
1440,2.1464
1450,2.13104
1460,2.12692
1470,2.13575
1480,2.12232
1490,2.12057
1500,2.13494
1510,2.14038
1520,2.13592
1530,2.13472
1540,2.15728
1550,2.14349
1560,2.14024
1570,2.13809
1580,2.1412
1590,2.14655
1600,2.15107
1610,2.15325
1620,2.15041
1630,2.14654
1640,2.14335
1650,2.14354
1660,2.13542
1670,2.13752
1680,2.1318
1690,2.14777
1700,2.12853
1710,2.14732
1720,2.15072
1730,2.15972
1740,2.15078
1750,2.14939
1760,2.15869
1770,2.16322
1780,2.15826
1790,2.16861
1800,2.16419
1810,2.16254
1820,2.15486
1830,2.14905
1840,2.14277
1850,2.151
1860,2.14865
1870,2.16404
1880,2.1509
1890,2.14855
1900,2.1464
1910,2.15178
1920,2.14431
1930,2.1506
1940,2.17157
1950,2.16711
1960,2.16874
1970,2.16993
1980,2.1791
1990,2.16765
2000,2.17925
2010,2.18908
2020,2.17787
2030,2.17229
2040,2.17314
2050,2.17694
2060,2.18455
2070,2.18368
2080,2.1903
2090,2.17113
2100,2.1738
2110,2.15449
2120,2.16941
2130,2.17317
2140,2.17529
2150,2.17295
2160,2.17541
2170,2.16281
2180,2.17038
2190,2.17348
2200,2.16871
2210,2.16082
2220,2.17582
2230,2.16138
2240,2.15486
2250,2.16245
2260,2.15665
2270,2.15825
2280,2.16528
2290,2.15963
2300,2.16306
2310,2.16779
2320,2.16443
2330,2.16936
2340,2.17017
2350,2.17534
2360,2.16333
2370,2.15578
2380,2.16194
2390,2.16456
2400,2.1657
2410,2.16546
2420,2.17354
2430,2.17718
2440,2.16892
2450,2.17184
2460,2.16953
2470,2.17942
2480,2.17828
2490,2.17536
2500,2.17217
2510,2.16336
2520,2.15136
2530,2.15907
