Time,RG
0,2.11875
10,2.12893
20,2.11077
30,2.12463
40,2.12603
50,2.13512
60,2.13401
70,2.13578
80,2.14694
90,2.12503
100,2.14332
110,2.14085
120,2.13972
130,2.14999
140,2.14014
150,2.15552
160,2.14628
170,2.1456
180,2.14567
190,2.15687
200,2.14008
210,2.14072
220,2.1368
230,2.12875
240,2.11839
250,2.12832
260,2.13701
270,2.14618
280,2.13919
290,2.13499
300,2.12226
310,2.13982
320,2.15663
330,2.14876
340,2.1551
350,2.14206
360,2.15547
370,2.15875
380,2.15552
390,2.14994
400,2.16859
410,2.16512
420,2.16999
430,2.17807
440,2.16694
450,2.16606
460,2.15022
470,2.15292
480,2.15486
490,2.14148
500,2.13758
510,2.14288
520,2.14861
530,2.14157
540,2.15125
550,2.14849
560,2.15152
570,2.14752
580,2.15153
590,2.13271
600,2.1389
610,2.1501
620,2.15682
630,2.1419
640,2.14106
650,2.1438
660,2.14969
670,2.14711
680,2.16106
690,2.1555
700,2.14879
710,2.16605
720,2.16672
730,2.16537
740,2.15504
750,2.15349
760,2.15959
770,2.16679
780,2.14147
790,2.15052
800,2.15385
810,2.15389
820,2.16638
830,2.15514
840,2.15304
850,2.15808
860,2.14603
870,2.15671
880,2.15381
890,2.14884
900,2.15173
910,2.13876
920,2.15847
930,2.15158
940,2.15517
950,2.16035
960,2.15496
970,2.16585
980,2.16943
990,2.16317
1000,2.15503
1010,2.1529
1020,2.15076
1030,2.15508
1040,2.14946
1050,2.16983
1060,2.16413
1070,2.17529
1080,2.15867
1090,2.15513
1100,2.15143
1110,2.15363
1120,2.16386
1130,2.1645
1140,2.16328
1150,2.15694
1160,2.17228
1170,2.15668
1180,2.15635
1190,2.15359
1200,2.14946
1210,2.14582
1220,2.16012
1230,2.16378
1240,2.16526
1250,2.15794
1260,2.16279
1270,2.15333
1280,2.14981
1290,2.14828
1300,2.14877
1310,2.15405
1320,2.16687
1330,2.16777
1340,2.16524
1350,2.16839
1360,2.16646
1370,2.16915
1380,2.16573
1390,2.14894
1400,2.15896
