Time,RG
0,2.11776
10,2.12376
20,2.12766
30,2.13455
40,2.14855
50,2.14297
60,2.14749
70,2.15278
80,2.16481
90,2.15457
100,2.15456
110,2.15107
120,2.13981
130,2.15228
140,2.15899
150,2.14783
160,2.1555
170,2.15167
180,2.14971
190,2.13519
200,2.14938
210,2.13433
220,2.1337
230,2.13241
240,2.13163
250,2.14043
260,2.12089
270,2.12431
280,2.13035
290,2.12058
300,2.13081
310,2.13048
320,2.12284
330,2.13527
340,2.12491
350,2.13434
360,2.13583
370,2.11469
380,2.12395
390,2.12391
400,2.12444
410,2.12479
420,2.1164
430,2.11745
440,2.12075
450,2.12633
460,2.135
470,2.12913
480,2.13508
490,2.12896
500,2.12214
510,2.13664
520,2.14614
530,2.14321
540,2.13223
550,2.13304
560,2.13472
570,2.14042
580,2.13183
590,2.12898
600,2.14982
610,2.13172
620,2.11754
630,2.12262
640,2.12235
650,2.12183
660,2.122
670,2.12094
680,2.13721
690,2.12459
700,2.12899
710,2.1229
720,2.1274
730,2.11485
740,2.11796
750,2.10898
760,2.11612
770,2.1234
780,2.12183
790,2.12139
800,2.12685
810,2.12412
820,2.12506
830,2.11849
840,2.11407
850,2.1095
860,2.11489
870,2.10021
880,2.10304
890,2.09501
900,2.09367
910,2.08848
920,2.11098
930,2.10199
940,2.11382
950,2.10835
960,2.09916
970,2.10042
980,2.11932
990,2.12301
1000,2.11439
1010,2.11723
1020,2.10701
1030,2.09931
1040,2.12187
1050,2.11167
1060,2.10884
1070,2.11065
1080,2.11355
1090,2.11902
1100,2.11611
1110,2.11946
1120,2.1264
1130,2.1275
1140,2.1177
1150,2.10808
1160,2.10505
1170,2.08707
1180,2.09494
1190,2.09438
1200,2.08096
1210,2.10742
1220,2.10257
1230,2.12202
1240,2.09855
1250,2.10137
1260,2.09952
1270,2.08049
1280,2.08777
1290,2.10656
1300,2.10284
1310,2.09819
1320,2.08274
1330,2.09786
1340,2.09011
1350,2.08278
1360,2.09868
1370,2.1017
1380,2.09409
1390,2.08516
1400,2.09575
1410,2.10434
1420,2.10015
1430,2.09058
1440,2.10252
1450,2.09234
