Time,RG
0,2.1169
10,2.12871
20,2.13758
30,2.13968
40,2.14963
50,2.14726
60,2.14955
70,2.15612
80,2.14128
90,2.13681
100,2.13109
110,2.12803
120,2.15253
130,2.15512
140,2.14741
150,2.14201
160,2.14518
170,2.14525
180,2.14869
190,2.13737
200,2.14855
210,2.15968
220,2.14535
230,2.13745
240,2.15487
250,2.14463
260,2.17239
270,2.17883
280,2.17356
290,2.16916
300,2.17067
310,2.17105
320,2.16691
330,2.15534
340,2.1533
350,2.14318
360,2.15824
370,2.1577
380,2.16814
390,2.15395
400,2.17422
410,2.16113
420,2.15834
430,2.15625
440,2.15659
450,2.16054
460,2.15379
470,2.15915
480,2.15909
490,2.15688
500,2.15731
510,2.1561
520,2.15697
530,2.16407
540,2.17411
550,2.16777
560,2.1588
570,2.16702
580,2.16244
590,2.1454
600,2.1432
610,2.14461
620,2.13423
630,2.15025
640,2.16948
650,2.16754
660,2.15624
670,2.1694
680,2.17011
690,2.17104
700,2.16485
710,2.14825
720,2.1549
730,2.16431
740,2.16292
750,2.16162
760,2.15827
770,2.16948
780,2.15388
790,2.16907
800,2.1755
810,2.16344
820,2.16314
830,2.16747
840,2.15327
850,2.15934
860,2.15574
870,2.14193
880,2.13967
890,2.15716
900,2.17619
910,2.17196
920,2.1668
930,2.15299
940,2.13856
950,2.14802
960,2.14815
970,2.1434
980,2.14235
990,2.15323
1000,2.14797
1010,2.14736
1020,2.11759
1030,2.13801
1040,2.13145
1050,2.13465
1060,2.14175
1070,2.13536
1080,2.13238
1090,2.13338
1100,2.12078
1110,2.1193
1120,2.13039
1130,2.13026
1140,2.13995
1150,2.14015
1160,2.14238
1170,2.13643
1180,2.1386
1190,2.14329
1200,2.13663
1210,2.15163
1220,2.15619
1230,2.15362
1240,2.14157
1250,2.13769
1260,2.14729
1270,2.13904
1280,2.13411
1290,2.1455
1300,2.12918
1310,2.13605
1320,2.13985
1330,2.135
1340,2.14709
1350,2.15348
1360,2.13327
1370,2.1373
1380,2.13777
1390,2.13758
1400,2.13512
1410,2.12844
1420,2.13948
1430,2.13791
1440,2.13755
1450,2.13842
1460,2.12414
1470,2.11299
1480,2.12731
1490,2.11231
1500,2.12116
1510,2.12529
1520,2.11875
1530,2.1464
1540,2.15927
1550,2.17078
1560,2.16457
1570,2.13837
1580,2.14562
1590,2.13524
1600,2.13548
1610,2.15895
1620,2.16014
1630,2.15376
1640,2.15142
1650,2.14136
1660,2.15603
1670,2.15531
1680,2.14489
1690,2.1454
1700,2.14915
1710,2.159
1720,2.1447
1730,2.13827
1740,2.14333
1750,2.14501
1760,2.13824
1770,2.14582
1780,2.13416
1790,2.13657
1800,2.13926
1810,2.12859
1820,2.13719
1830,2.12801
1840,2.13132
1850,2.13088
1860,2.13244
1870,2.1269
1880,2.13334
1890,2.12876
1900,2.14925
1910,2.14858
1920,2.14952
1930,2.16116
1940,2.15071
1950,2.14851
1960,2.15136
1970,2.16386
1980,2.1517
1990,2.13623
2000,2.14433
2010,2.14908
2020,2.14028
2030,2.13494
2040,2.13883
2050,2.135
2060,2.13391
2070,2.13776
2080,2.1473
2090,2.12348
2100,2.11138
2110,2.12789
2120,2.1204
2130,2.11839
2140,2.11971
2150,2.11203
2160,2.1092
2170,2.10833
2180,2.11379
2190,2.11442
2200,2.10656
2210,2.09698
2220,2.09738
2230,2.10645
2240,2.11471
2250,2.10465
2260,2.11128
2270,2.10139
2280,2.10785
2290,2.10198
2300,2.09159
2310,2.09482
2320,2.09279
2330,2.102
2340,2.10448
2350,2.10408
2360,2.10208
2370,2.11549
2380,2.1219
2390,2.11
2400,2.10607
2410,2.1192
2420,2.13103
2430,2.13428
2440,2.1289
2450,2.13256
2460,2.1132
2470,2.12159
2480,2.12638
2490,2.12076
2500,2.12628
2510,2.12988
2520,2.13575
2530,2.13427
2540,2.12272
2550,2.12764
2560,2.13041
2570,2.11157
2580,2.12818
2590,2.12397
2600,2.11711
2610,2.12648
2620,2.13418
2630,2.12068
2640,2.1274
2650,2.1076
2660,2.10364
2670,2.09561
2680,2.07956
2690,2.07886
2700,2.07406
2710,2.07073
2720,2.08238
2730,2.07998
2740,2.08339
2750,2.07173
2760,2.07688
2770,2.08212
2780,2.08218
2790,2.10617
2800,2.09698
2810,2.08257
2820,2.08033
2830,2.05843
2840,2.07626
2850,2.05734
2860,2.04714
2870,2.07142
2880,2.07809
2890,2.07102
2900,2.05686
2910,2.05845
2920,2.05416
2930,2.03553
2940,2.04087
2950,2.03961
2960,2.04377
2970,2.03578
2980,2.04025
2990,2.03494
3000,2.03274
3010,2.04421
3020,2.04973
3030,2.02312
3040,2.00865
3050,2.01324
3060,2.01848
3070,2.01678
3080,2.00926
3090,2.00437
3100,1.99756
3110,1.99684
3120,2.00554
3130,1.99772
3140,2.006
3150,1.99109
3160,1.98889
3170,1.99234
3180,2.00026
3190,2.00658
3200,1.9916
3210,2.01167
3220,2.00291
3230,1.99445
3240,2.00364
3250,2.00301
3260,2.00857
3270,1.9993
3280,2.0129
3290,1.99181
3300,1.99474
3310,1.9873
3320,1.98936
3330,1.98956
3340,1.99424
3350,1.97662
3360,1.97677
3370,1.9489
3380,1.97058
3390,1.98988
3400,1.96474
3410,1.96189
3420,1.97504
3430,1.96412
3440,1.97761
3450,1.99
3460,1.9873
3470,1.974
3480,1.96901
3490,1.97159
3500,1.97492
3510,1.98708
3520,1.97662
3530,1.98288
3540,1.96195
3550,1.96398
3560,1.94864
3570,1.97016
3580,1.98431
3590,1.98461
3600,2.00081
3610,1.98869
3620,1.98809
3630,1.98425
3640,1.99172
3650,1.99744
3660,1.98809
3670,1.97354
3680,1.96802
3690,1.96971
3700,1.9631
3710,1.96066
3720,1.96015
3730,1.94997
3740,1.96008
3750,1.95464
3760,1.96946
3770,1.96764
3780,1.96202
3790,1.96915
3800,1.98823
3810,1.99335
3820,1.98716
3830,2.00172
3840,2.02595
3850,2.00556
3860,1.9967
3870,1.99605
3880,1.99553
3890,1.99688
3900,1.99048
3910,2.00046
3920,2.0017
3930,2.00685
3940,1.98927
3950,1.98463
3960,1.98819
3970,1.99055
3980,1.99046
3990,2.00617
4000,1.99389
4010,1.98993
4020,1.99408
4030,2.00156
4040,2.00057
4050,2.00514
4060,1.99726
4070,1.9895
4080,1.99647
4090,1.98811
4100,2.00556
4110,1.98597
4120,1.99098
4130,1.98713
4140,1.98382
4150,1.9836
4160,1.98533
4170,1.98302
4180,1.97842
4190,1.98103
4200,1.96203
4210,1.97101
4220,1.97052
4230,1.97679
4240,1.98498
4250,1.98582
4260,1.98385
4270,1.98718
4280,1.99391
4290,1.96732
4300,1.97166
4310,1.98259
4320,1.9884
4330,1.99945
4340,2.00783
4350,2.00596
4360,2.01682
4370,2.00923
4380,2.01778
4390,2.02089
4400,2.01362
4410,2.02104
4420,2.01889
4430,2.01267
4440,2.01485
4450,2.00418
4460,2.0001
4470,1.98366
4480,1.99058
4490,1.99806
4500,1.98322
4510,1.99114
4520,1.99461
4530,2.01615
4540,2.01033
4550,2.02252
4560,2.00967
4570,2.01441
4580,1.99215
4590,2.00101
4600,2.00283
4610,2.00224
4620,2.00398
4630,2.01176
4640,2.00535
4650,2.00266
4660,2.00574
4670,2.0174
4680,2.01187
4690,2.0062
4700,2.00469
4710,2.01376
4720,2.00316
4730,2.01323
4740,2.009
4750,2.00578
4760,1.99804
4770,2.00355
4780,1.99499
4790,2.01216
4800,2.01637
4810,2.01731
4820,2.01635
4830,2.01388
4840,2.0005
4850,1.99775
4860,1.99898
4870,2.01208
4880,2.0055
4890,2.00844
4900,2.00738
4910,1.998
4920,2.00482
4930,2.00347
4940,2.00566
4950,1.99759
4960,1.98364
4970,1.98278
4980,1.99437
4990,1.9815
5000,1.96915
5010,1.96775
5020,1.96987
5030,1.97036
5040,1.97178
5050,1.96174
5060,1.97366
5070,1.99103
5080,1.98793
5090,1.98483
5100,1.99619
5110,1.9908
5120,1.98842
5130,1.96951
5140,1.97923
5150,1.97102
5160,1.94218
5170,1.96132
5180,1.96939
5190,1.97168
5200,1.98837
5210,1.98482
5220,1.9859
5230,1.98256
5240,1.99244
5250,1.99354
5260,2.00149
5270,2.00284
5280,1.9978
5290,1.99328
5300,1.9916
5310,1.99986
5320,2.01239
5330,2.00487
5340,2.02178
5350,2.02802
5360,2.03058
5370,2.02354
5380,2.0355
5390,2.02511
5400,2.02358
5410,2.02857
5420,2.02782
5430,2.04719
5440,2.0575
5450,2.04011
5460,2.05538
5470,2.05271
5480,2.04534
5490,2.05411
5500,2.04416
5510,2.04363
5520,2.03609
5530,2.05562
5540,2.05465
5550,2.05708
5560,2.05666
5570,2.05673
5580,2.04508
5590,2.03837
5600,2.02678
5610,2.05746
5620,2.05282
5630,2.0295
5640,2.04573
5650,2.04227
5660,2.04527
5670,2.0502
5680,2.05035
5690,2.05186
5700,2.05388
5710,2.06208
5720,2.04718
5730,2.04043
5740,2.05281
5750,2.02977
5760,2.049
5770,2.05041
5780,2.04789
5790,2.05989
5800,2.06052
