Time,RG
0,2.11725
10,2.12026
20,2.12259
30,2.11939
40,2.12816
50,2.13767
60,2.13385
70,2.1463
80,2.12996
90,2.141
100,2.14389
110,2.12914
120,2.13529
130,2.12601
140,2.12467
150,2.14725
160,2.13179
170,2.1378
180,2.1382
190,2.13255
200,2.13874
210,2.14729
220,2.12794
230,2.13273
240,2.13182
250,2.11527
260,2.13618
270,2.132
280,2.13603
290,2.12902
300,2.13766
310,2.12081
320,2.13428
330,2.11844
340,2.12944
350,2.14587
360,2.13368
370,2.12074
380,2.1307
390,2.13704
400,2.12605
410,2.12423
420,2.12052
430,2.12202
440,2.13101
450,2.12501
460,2.13198
470,2.12386
480,2.12514
490,2.13852
500,2.14794
510,2.13827
520,2.17043
530,2.13314
540,2.13172
550,2.1494
560,2.13559
570,2.1302
580,2.13152
590,2.13137
600,2.12744
610,2.12706
620,2.12014
630,2.11479
640,2.12691
650,2.13305
660,2.11568
670,2.12577
680,2.11794
690,2.11399
700,2.1198
710,2.12522
720,2.13592
730,2.13452
740,2.13383
750,2.13284
760,2.12434
770,2.11635
780,2.11699
790,2.12091
800,2.12359
810,2.12483
820,2.12201
830,2.12556
840,2.11257
850,2.10387
860,2.11734
870,2.13218
880,2.13159
890,2.12717
900,2.12861
910,2.12975
920,2.12327
930,2.11994
940,2.12696
950,2.12875
960,2.13621
970,2.13416
980,2.14035
990,2.13601
1000,2.12538
1010,2.12459
1020,2.12594
1030,2.13321
1040,2.11672
1050,2.11826
1060,2.1223
1070,2.12099
1080,2.12006
1090,2.1253
1100,2.12463
1110,2.13209
1120,2.12376
1130,2.11843
1140,2.11427
1150,2.11879
1160,2.11176
1170,2.10441
1180,2.09539
1190,2.10511
1200,2.10847
1210,2.10896
1220,2.12424
1230,2.13165
1240,2.13234
1250,2.14497
1260,2.1269
1270,2.13612
1280,2.12876
1290,2.12753
1300,2.12064
1310,2.13861
1320,2.14155
1330,2.13783
1340,2.14955
1350,2.14693
1360,2.13714
1370,2.14422
1380,2.13805
1390,2.1284
1400,2.1143
1410,2.11048
1420,2.12574
1430,2.10696
1440,2.11375
1450,2.10576
1460,2.10837
1470,2.12346
1480,2.12325
1490,2.13555
1500,2.12955
1510,2.14032
1520,2.12895
1530,2.12411
1540,2.11894
1550,2.13586
1560,2.09188
1570,2.09657
1580,2.08953
1590,2.08674
1600,2.08383
1610,2.0849
1620,2.08634
1630,2.07342
1640,2.07641
1650,2.08848
1660,2.08599
